00:00;teuer
00:15;teuer
00:30;teuer
00:45;teuer
01:00;teuer
01:15;teuer
01:30;teuer
01:45;teuer
02:00;teuer
02:15;teuer
02:30;teuer
02:45;teuer
03:00;teuer
03:15;teuer
03:30;teuer
03:45;teuer
04:00;teuer
04:15;teuer
04:30;teuer
04:45;teuer
05:00;teuer
05:15;teuer
05:30;teuer
05:45;teuer
06:00;teuer
06:15;teuer
06:30;teuer
06:45;teuer
07:00;teuer
07:15;teuer
07:30;teuer
07:45;teuer
08:00;teuer
08:15;teuer
08:30;teuer
08:45;teuer
09:00;teuer
09:15;teuer
09:30;teuer
09:45;teuer
10:00;teuer
10:15;teuer
10:30;teuer
10:45;teuer
11:00;teuer
11:15;teuer
11:30;teuer
11:45;teuer
12:00;teuer
12:15;teuer
12:30;teuer
12:45;teuer
13:00;teuer
13:15;teuer
13:30;teuer
13:45;teuer
14:00;teuer
14:15;teuer
14:30;teuer
14:45;teuer
15:00;teuer
15:15;teuer
15:30;teuer
15:45;teuer
16:00;teuer
16:15;teuer
16:30;teuer
16:45;teuer
17:00;teuer
17:15;teuer
17:30;teuer
17:45;teuer
18:00;teuer
18:15;teuer
18:30;teuer
18:45;teuer
19:00;teuer
19:15;teuer
19:30;teuer
19:45;teuer
20:00;teuer
20:15;teuer
20:30;teuer
20:45;teuer
21:00;teuer
21:15;teuer
21:30;teuer
21:45;teuer
22:00;teuer
22:15;teuer
22:30;teuer
22:45;teuer
23:00;teuer
23:15;teuer
23:30;teuer
23:45;teuer
